instance,instance_id,C_objective,G_objective,LS_objective,MILP_objective,MILP_share,MILP_stops,MILP_freq,MILP_gap
synthetic_20_stops_s427,I28,8.364624226158714,7.535593383503534,7.230943201996298,6.2624879758911165,0.5620742447582554,14.0,6.0,0.00971403377988745
synthetic_24_stops_s428,I29,9.482606219363678,8.567664540474377,8.220502645542444,7.077652735131455,0.5294868658484286,17.0,5.6,0.07631544202472702
synthetic_28_stops_s429,I30,9.615355948401636,8.61756305285089,8.62698763050245,7.3080518948032305,0.5026240547568498,20.0,5.0,0.10709758694438741
synthetic_12_stops_s430,I31,7.572763934879075,7.320394296405191,6.2916497806012135,5.860145214520762,0.5462303377444849,9.0,7.0,0.00999897697990543
synthetic_16_stops_s431,I32,7.841670190804951,7.601967735238068,6.414668100327424,6.202992119517148,0.5420939005715107,14.0,6.0,0.05053666936565808
synthetic_20_stops_s432,I33,8.810349381612285,8.20729321224147,7.4177584309799425,6.649672619381546,0.5208422108605644,15.0,6.0,0.050582516908284345
synthetic_24_stops_s433,I34,9.342005789824524,8.441178680702887,8.620245083316961,7.208870378735596,0.5261875906438149,17.0,5.5,0.09434806301929084
synthetic_28_stops_s434,I35,10.780876939963047,9.725131663223937,9.889081586120863,8.477809414377933,0.46168719580995937,20.0,5.0,0.11584037056811021
synthetic_12_stops_s435,I36,7.4718988882025705,7.121869707450292,5.998355553989368,5.57601226231156,0.5366730903662695,9.0,7.0,0.008127961186095248
synthetic_16_stops_s436,I37,7.466500065165371,7.076418627925096,6.247476832597858,5.770914642681018,0.5675437716416457,12.0,6.5,0.009953420332283806
synthetic_20_stops_s437,I38,8.962381891539355,8.176493377628494,7.636618343618258,6.6831960577529905,0.5297633981819612,14.0,6.0,0.04782375157773224
synthetic_24_stops_s438,I39,9.032731266429618,8.390501546024579,8.163053603981346,7.039474249312202,0.47810125544916693,18.0,5.5,0.09959066791097677
synthetic_28_stops_s439,I40,10.130541179302758,9.048938955398185,9.395871880989727,7.972172625405531,0.4986773695165667,20.0,5.0,0.06805661816547286
synthetic_12_stops_s440,I41,7.349799418033321,7.1176198767419345,5.88351693336574,5.577602514361847,0.5558898763449681,10.0,7.0,0.00997080164623529
synthetic_16_stops_s441,I42,7.558441920077712,7.159298468661118,6.058214202751596,5.562527875598659,0.568809935215004,12.0,6.5,0.03415266618627938
synthetic_20_stops_s442,I43,8.615979208521484,8.140620837319444,7.458834070847683,6.833189583543352,0.553085247079424,16.0,6.0,0.0126273063000285
synthetic_24_stops_s443,I44,9.350848399512346,8.49233640485599,8.434499676423625,7.063529020877034,0.5220674250133507,17.0,5.6,0.07875832230823152
synthetic_28_stops_s444,I45,9.946802001622908,8.898774746622339,8.94462368767206,7.562051883749609,0.4927479469049367,20.0,5.0,0.09769824482840693
synthetic_12_stops_s445,I46,6.908504154628138,6.561958883711178,5.72508490150738,5.316725249900679,0.5536423130469975,9.0,7.0,0.009975391722193003
synthetic_16_stops_s446,I47,7.544546040767154,7.151636262260528,6.083256418275893,5.677510798492857,0.568498627108296,12.0,6.6,0.1560787353884804
synthetic_20_stops_s447,I48,8.66520891135417,8.249853332856821,7.242593023484352,6.602495021836436,0.5340720234771861,15.0,6.0,0.08141574017777367
synthetic_24_stops_s448,I49,8.650874051099516,8.086415064672511,7.727852672128578,6.944611296426351,0.5306025594666827,19.0,5.5,0.09152631971815965
synthetic_28_stops_s449,I50,10.08847030541625,9.166798369761539,9.131092120349734,7.795052102920469,0.5003840046444789,20.0,5.0,0.09690878485878124
